2.นักศึกษาสังกัดหลักสูตร,3. เพศ,4. อายุ (ปี),6. สถานภาพสมรส (ปัจจุบัน),7. ท่านมีความต้องการสำเร็จการศึกษาตามระยะเวลาที่หลักสูตรกำหนดหรือไม่,ด้านลักษณะการจัดการเรียนการสอนและหลักสูตร,ความรู้ความเข้าใจแผนการเรียนที่กำหนดไว้ในหลักสูตร,ความรู้และความเข้าใจในการเรียนในแต่ละรายวิชา,หลักสูตรมีการจัดกิจกรรมการเรียนการสอนที่เน้นผู้เรียนเป็นสำคัญ,หลักสูตรมีความพร้อมของสถานที่ เครื่องมือ และอุปกรณ์การเรียน,การให้ความสนับสนุนข้อมูลต่างๆ ของเจ้าหน้าที่บัณฑิตศึกษา,อาจารย์ที่ปรึกษาวิทยานิพนธ์,การจัดเวลาให้นักศึกษาเข้าพบ,การวางแผนการเรียนระหว่างอาจารย์กับนักศึกษา,การติดตามการทำวิทยานิพนธ์ของนักศึกษาอย่างสม่ำเสมอ,การมีความรู้ความเข้าใจในกฎระเบียบ และข้อกำหนดเกี่ยวกับวิทยานิพนธ์,ความรอบรู้ และความชำนาญของอาจารย์ที่ปรึกษาในหัวข้อวิทยานิพนธ์,ความพร้อมในการเป็นอาจารย์ที่ปรึกษา,การสนับสนุนให้นักศึกษาขอทุนสนับสนุนการวิจัย,การสนับสนุนให้นักศึกษานำเสนอผลงานในที่ประชุมหรือตีพิมพ์ในวารสารวิชาการ,ความชื่นชอบอาจารย์ผู้สอน และอาจารย์ที่ปรึกษา,การทำวิทยานิพนธ์และการเผยแพร่ผลงานของนักศึกษา,ปัจจัยส่งผลต่อการสำเร็จการศึกษาของนักศึกษาระดับบัณฑิตศึกษา (โปรดเลือกระดับความสำคัญที่ตรงกับความคิดเห็นของท่านมากที่สุดเพียงระดับเดียว) [3.1 การหาหัวข้อวิทยานิพนธ์],การเขียนเค้าโครงวิทยานิพนธ์,การวางแผนและการดำเนินการวิทยานิพนธ์,"สิ่งเร้าที่ทำให้นักศึกษามีพฤติกรรมในการอยากเรียนและศึกษาค้นคว้า(เพื่อนร่วมเรียนในชั้น,อุปกรณ์และเครื่องมือในการทดล",การเก็บรวบรวมข้อมูล,การวิเคราะห์ข้อมูล,การเขียนวิทยานิพนธ์,การสอบโครงร่างวิทยานิพนธ์,การสอบป้องกันร่างวิทยานิพนธ์,การส่งรูปเล่มวิทยานิพนธ์,การเผยแพร่ผลงานวิทยานิพนธ์,ความพร้อมของนักศึกษา,ท่านมีความรู้ความเข้าใจในกฎระเบียบและข้อกำหนดเกี่ยวกับวิทยานิพนธ์,มีวินัยในตนเอง,มีความใฝ่รู้ใฝ่เรียน,ท่านมีการเข้าพบอาจารย์ที่ปรึกษา หรือติดต่อประสานงานกับอาจารย์ที่ปรึกษา ผ่านช่องทางการสื่อสารต่างๆ,ท่านมีการวางแผนการเรียนระหว่างนักศึกษากับอาจารย์,ความรู้และความสามารถในการวิจัย เช่น การวางแผน/เก็บตัวอย่าง/ทำแลป,มีความสามารถในการสืบค้นข้อมูลในการทำวิทยานิพนธ์ และแหล่งเรียนรู้ต่างๆ,ท่านมีทักษะการเขียน การวิเคราะห์ สรุปผล,เมื่อท่านสำเร็จการศึกษาระดับปริญญาตรี ท่านมีความประสงค์จะศึกษาต่อระดับบัณฑิตศึกษา,มีความต้องการหาประสบการณ์และหาความรู้เพิ่มเติม,มีความเป็นไปได้มากน้อยเพียงใดที่คุณจะแนะนำเราให้กับเพื่อนหรือผู้ร่วมงาน,แรงผลักดันจากครอบครัว,สภาพคล่องด้านการเงิน,ต้องปฏิบัติงานประจำควบคู่ไปด้วยหรือไม่,ระยะเวลาในเดือน
6,1,32,0,1,2,2,2,2,1,2,2,2,2,2,2,3,2,3,2,3,2,3,3,3,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,3,2,3,2,1,54
6,1,28,0,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,2,3,2,2,2,2,2,2,2,3,3,2,2,2,3,3,1,2,2,2,2,1,2,2,3,1,0,30
1,0,33,0,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,1,1,1,24
1,0,26,0,2,3,2,2,3,2,1,2,2,2,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,24
6,1,29,0,2,2,2,2,2,2,2,3,2,3,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,1,0,36
2,1,29,0,1,2,2,2,2,น้อย,1,3,2,2,2,2,3,3,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,0,60
1,1,27,0,2,2,3,2,2,2,2,3,3,3,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,0,30
2,1,29,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,36
4,1,28,0,2,2,2,2,2,2,1,3,2,2,2,2,3,3,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,3,0,33
2,1,29,0,2,2,2,2,2,1,2,3,3,2,2,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,2,2,2,3,3,3,2,2,2,1,48
